
[16:32:52.430]收←◆ LCD ID:ffff

SDRAM Capacity:3376KB
SDRAM Capacity:3392KB
SDRAM Capacity:3408KB
SDRAM Capacity:3424KB
SDRAM Capacity:3440KB
SDRAM Capacity:3456KB
SDRAM Capacity:3472KB
SDRAM Capacity:3488KB
SDRAM Capacity:3504KB
SDRAM Capacity:3520KB
SDRAM Capacity:3536KB
SDRAM Capacity:3552KB
SDRAM Capacity:3568KB
SDRAM Capacity:3584KB
SDRAM Capacity:3600KB
SDRAM Capacity:3616KB
SDRAM Capacity:3632KB
SDRAM Capacity:3648KB
SDRAM Capacity:3664KB
SDRAM Capacity:3680KB
SDRAM Capacity:3696KB
SDRAM Capacity:3712KB
SDRAM Capacity:3728KB
SDRAM Capacity:3744KB
SDRAM Capacity:3760KB
SDRAM Capacity:3776KB
SDRAM Capacity:3792KB
SDRAM Capacity:3808KB
SDRAM Capacity:3824KB
SDRAM Capacity:3840KB
SDRAM Capacity:3856KB
SDRAM Capacity:3872KB
SDRAM Capacity:3888KB
SDRAM Capacity:3904KB
SDRAM Capacity:3920KB
SDRAM Capacity:3936KB
SDRAM Capacity:3952KB
SDRAM Capacity:3968KB
SDRAM Capacity:3984KB
SDRAM Capacity:4000KB
SDRAM Capacity:4016KB
SDRAM Capacity:4032KB
SDRAM Capacity:4048KB
SDRAM Capacity:4064KB
SDRAM Capacity:4080KB
SDRAM Capacity:4096KB
SDRAM Capacity:5136KB
SDRAM Capacity:5152KB
SDRAM Capacity:5168KB
SDRAM Capacity:5184KB
SDRAM Capacity:5200KB
SDRAM Capacity:5216KB
SDRAM Capacity:5232KB
SDRAM Capacity:5248KB
SDRAM Capacity:5264KB
SDRAM Capacity:5280KB
SDRAM Capacity:5296KB
SDRAM Capacity:5312KB
SDRAM Capacity:5328KB
SDRAM Capacity:5344KB
SDRAM Capacity:5360KB
SDRAM Capacity:5376KB
SDRAM Capacity:5392KB
SDRAM Capacity:5408KB
SDRAM Capacity:5424KB
SDRAM Capacity:5440KB
SDRAM Capacity:5456KB
SDRAM Capacity:5472KB
SDRAM Capacity:5488KB
SDRAM Capacity:5504KB
SDRAM Capacity:5520KB
SDRAM Capacity:5536KB
SDRAM Capacity:5552KB
SDRAM Capacity:5568KB
SDRAM Capacity:5584KB
SDRAM Capacity:5600KB
SDRAM Capacity:5616KB
SDRAM Capacity:5632KB
SDRAM Capacity:5648KB
SDRAM Capacity:5664KB
SDRAM Capacity:5680KB
SDRAM Capacity:5696KB
SDRAM Capacity:5712KB
SDRAM Capacity:5728KB
SDRAM Capacity:5744KB
SDRAM Capacity:5760KB
SDRAM Capacity:5776KB
SDRAM Capacity:5792KB
SDRAM Capacity:5808KB
SDRAM Capacity:5824KB
SDRAM Capacity:5840KB
SDRAM Capacity:5856KB
SDRAM Capacity:5872KB
SDRAM Capacity:5888KB
SDRAM Capacity:5904KB
SDRAM Capacity:5920KB
SDRAM Capacity:5936KB
SDRAM Capacity:5952KB
SDRAM Capacity:5968KB
SDRAM Capacity:5984KB
SDRAM Capacity:6000KB
SDRAM Capacity:6016KB
SDRAM Capacity:6032KB
SDRAM Capacity:6048KB
SDRAM Capacity:6064KB
SDRAM Capacity:6080KB
SDRAM Capacity:6096KB
SDRAM Capacity:6112KB
SDRAM Capacity:6128KB
SDRAM Capacity:6144KB
SDRAM Capacity:5136KB
SDRAM Capacity:5152KB
SDRAM Capacity:5168KB
SDRAM Capacity:5184KB
SDRAM Capacity:5200KB
SDRAM Capacity:5216KB
SDRAM Capacity:5232KB
SDRAM Capacity:5248KB
SDRAM Capacity:5264KB
SDRAM Capacity:5280KB
SDRAM Capacity:5296KB
SDRAM Capacity:5312KB
SDRAM Capacity:5328KB
SDRAM Capacity:5344KB
SDRAM Capacity:5360KB
SDRAM Capacity:5376KB
SDRAM Capacity:5392KB
SDRAM Capacity:5408KB
SDRAM Capacity:5424KB
SDRAM Capacity:5440KB
SDRAM Capacity:5456KB
SDRAM Capacity:5472KB
SDRAM Capacity:5488KB
SDRAM Capacity:5504KB
SDRAM Capacity:5520KB
SDRAM Capacity:5536KB
SDRAM Capacity:5552KB
SDRAM Capacity:5568KB
SDRAM Capacity:5584KB
SDRAM Capacity:5600KB
SDRAM Capacity:5616KB
SDRAM Capacity:5632KB
SDRAM Capacity:5648KB
SDRAM Capacity:5664KB
SDRAM Capacity:5680KB
SDRAM Capacity:5696KB
SDRAM Capacity:5712KB
SDRAM Capacity:5728KB
SDRAM Capacity:5744KB
SDRAM Capacity:5760KB
SDRAM Capacity:5776KB
SDRAM Capacity:5792KB
SDRAM Capacity:5808KB
SDRAM Capacity:5824KB
SDRAM Capacity:5840KB
SDRAM Capacity:5856KB
SDRAM Capacity:5872KB
SDRAM Capacity:5888KB
SDRAM Capacity:5904KB
SDRAM Capacity:5920KB
SDRAM Capacity:5936KB
SDRAM Capacity:5952KB
SDRAM Capacity:5968KB
SDRAM Capacity:5984KB
SDRAM Capacity:6000KB
SDRAM Capacity:6016KB
SDRAM Capacity:6032KB
SDRAM Capacity:6048KB
SDRAM Capacity:6064KB
SDRAM Capacity:6080KB
SDRAM Capacity:6096KB
SDRAM Capacity:6112KB
SDRAM Capacity:6128KB
SDRAM Capacity:6144KB
SDRAM Capacity:7184KB
SDRAM Capacity:7200KB
SDRAM Capacity:7216KB
SDRAM Capacity:7232KB
SDRAM Capacity:7248KB
SDRAM Capacity:7264KB
SDRAM Capacity:7280KB
SDRAM Capacity:7296KB
SDRAM Capacity:7312KB
SDRAM Capacity:7328KB
SDRAM Capacity:7344KB
SDRAM Capacity:7360KB
SDRAM Capacity:7376KB
SDRAM Capacity:7392KB
SDRAM Capacity:7408KB
SDRAM Capacity:7424KB
SDRAM Capacity:7440KB
SDRAM Capacity:7456KB
SDRAM Capacity:7472KB
SDRAM Capacity:7488KB
SDRAM Capacity:7504KB
SDRAM Capacity:7520KB
SDRAM Capacity:7536KB
SDRAM Capacity:7552KB
SDRAM Capacity:7568KB
SDRAM Capacity:7584KB
SDRAM Capacity:7600KB
SDRAM Capacity:7616KB
SDRAM Capacity:7632KB
SDRAM Capacity:7648KB
SDRAM Capacity:7664KB
SDRAM Capacity:7680KB
SDRAM Capacity:7696KB
SDRAM Capacity:7712KB
SDRAM Capacity:7728KB
SDRAM Capacity:7744KB
SDRAM Capacity:7760KB
SDRAM Capacity:7776KB
SDRAM Capacity:7792KB
SDRAM Capacity:7808KB
SDRAM Capacity:7824KB
SDRAM Capacity:7840KB
SDRAM Capacity:7856KB
SDRAM Capacity:7872KB
SDRAM Capacity:7888KB
SDRAM Capacity:7904KB
SDRAM Capacity:7920KB
SDRAM Capacity:7936KB
SDRAM Capacity:7952KB
SDRAM Capacity:7968KB
SDRAM Capacity:7984KB
SDRAM Capacity:8000KB
SDRAM Capacity:8016KB
SDRAM Capacity:8032KB
SDRAM Capacity:8048KB
SDRAM Capacity:8064KB
SDRAM Capacity:8080KB
SDRAM Capacity:8096KB
SDRAM Capacity:8112KB
SDRAM Capacity:8128KB
SDRAM Capacity:8144KB
SDRAM Capacity:8160KB
SDRAM Capacity:8176KB
SDRAM Capacity:8192KB
SDRAM Capacity:7184KB
SDRAM Capacity:7200KB
SDRAM Capacity:7216KB
SDRAM Capacity:7232KB
SDRAM Capacity:7248KB
SDRAM Capacity:7264KB
SDRAM Capacity:7280KB
SDRAM Capacity:7296KB
SDRAM Capacity:7312KB
SDRAM Capacity:7328KB
SDRAM Capacity:7344KB
SDRAM Capacity:7360KB
SDRAM Capacity:7376KB
SDRAM Capacity:7392KB
SDRAM Capacity:7408KB
SDRAM Capacity:7424KB
SDRAM Capacity:7440KB
SDRAM Capacity:7456KB
SDRAM Capacity:7472KB
SDRAM Capacity:7488KB
SDRAM Capacity:7504KB
SDRAM Capacity:7520KB
SDRAM Capacity:7536KB
SDRAM Capacity:7552KB
SDRAM Capacity:7568KB
SDRAM Capacity:7584KB
SDRAM Capacity:7600KB
SDRAM Capacity:7616KB
SDRAM Capacity:7632KB
SDRAM Capacity:7648KB
SDRAM Capacity:7664KB
SDRAM Capacity:7680KB
SDRAM Capacity:7696KB
SDRAM Capacity:7712KB
SDRAM Capacity:7728KB
SDRAM Capacity:7744KB
SDRAM Capacity:7760KB
SDRAM Capacity:7776KB
SDRAM Capacity:7792KB
SDRAM Capacity:7808KB
SDRAM Capacity:7824KB
SDRAM Capacity:7840KB
SDRAM Capacity:7856KB
SDRAM Capacity:7872KB
SDRAM Capacity:7888KB
SDRAM Capacity:7904KB
SDRAM Capacity:7920KB
SDRAM Capacity:7936KB
SDRAM Capacity:7952KB
SDRAM Capacity:7968KB
SDRAM Capacity:7984KB
SDRAM Capacity:8000KB
SDRAM Capacity:8016KB
SDRAM Capacity:8032KB
SDRAM Capacity:8048KB
SDRAM Capacity:8064KB
SDRAM Capacity:8080KB
SDRAM Capacity:8096KB
SDRAM Capacity:8112KB
SDRAM Capacity:8128KB
SDRAM Capacity:8144KB
SDRAM Capacity:8160KB
SDRAM Capacity:8176KB
SDRAM Capacity:8192KB
SDRAM Capacity:9232KB
SDRAM Capacity:9248KB
SDRAM Capacity:9264KB
SDRAM Capacity:9280KB
SDRAM Capacity:9296KB
SDRAM Capacity:9312KB
SDRAM Capacity:9328KB
SDRAM Capacity:9344KB
SDRAM Capacity:9360KB
SDRAM Capacity:9376KB
SDRAM Capacity:9392KB
SDRAM Capacity:9408KB
SDRAM Capacity:9424KB
SDRAM Capacity:9440KB
SDRAM Capacity:9456KB
SDRAM Capacity:9472KB
SDRAM Capacity:9488KB
SDRAM Capacity:9504KB
SDRAM Capacity:9520KB
SDRAM Capacity:9536KB
SDRAM Capacity:9552KB
SDRAM Capacity:9568KB
SDRAM Capacity:9584KB
SDRAM Capacity:9600KB
SDRAM Capacity:9616KB
SDRAM Capacity:9632KB
SDRAM Capacity:9648KB
SDRAM Capacity:9664KB
SDRAM Capacity:9680KB
SDRAM Capacity:9696KB
SDRAM Capacity:9712KB
SDRAM Capacity:9728KB
SDRAM Capacity:9744KB
SDRAM Capacity:9760KB
SDRAM Capacity:9776KB
SDRAM Capacity:9792KB
SDRAM Capacity:9808KB
SDRAM Capacity:9824KB
SDRAM Capacity:9840KB
SDRAM Capacity:9856KB
SDRAM Capacity:9872KB
SDRAM Capacity:9888KB
SDRAM Capacity:9904KB
SDRAM Capacity:9920KB
SDRAM Capacity:9936KB
SDRAM Capacity:9952KB
SDRAM Capacity:9968KB
SDRAM Capacity:9984KB
SDRAM Capacity:10000KB
SDRAM Capacity:10016KB
SDRAM Capacity:10032KB
SDRAM Capacity:10048KB
SDRAM Capacity:10064KB
SDRAM Capacity:10080KB
SDRAM Capacity:10096KB
SDRAM Capacity:10112KB
SDRAM Capacity:10128KB
SDRAM Capacity:10144KB
SDRAM Capacity:10160KB
SDRAM Capacity:10176KB
SDRAM Capacity:10192KB
SDRAM Capacity:10208KB
SDRAM Capacity:10224KB
SDRAM Capacity:10240KB
SDRAM Capacity:9232KB
SDRAM Capacity:9248KB
SDRAM Capacity:9264KB
SDRAM Capacity:9280KB
SDRAM Capacity:9296KB
SDRAM Capacity:9312KB
SDRAM Capacity:9328KB
SDRAM Capacity:9344KB
SDRAM Capacity:9360KB
SDRAM Capacity:9376KB
SDRAM Capacity:9392KB
SDRAM Capacity:9408KB
SDRAM Capacity:9424KB
SDRAM Capacity:9440KB
SDRAM Capacity:9456KB
SDRAM Capacity:9472KB
SDRAM Capacity:9488KB
